scenario,policy,seed,status,totalScore,swaps,rerolls,coinsEarned,coinsSpent,coinsEnding,bestWaveCount,shuffles,cappedResolutions
trinket-cost-3,greedy,9,won,44454,54,0,50,43,7,3,0,0
trinket-cost-3,greedy,10,won,39441,34,0,56,47,9,3,0,0
trinket-cost-3,greedy,11,lost,37358,40,0,55,47,8,4,0,0
trinket-cost-3,greedy,12,won,44809,34,0,56,50,6,3,0,0
trinket-cost-3,builder,1,lost,1938,26,0,11,9,2,4,0,0
trinket-cost-3,builder,2,won,43231,36,0,55,42,13,4,0,0
trinket-cost-3,builder,3,won,49750,41,0,56,42,14,5,0,0
trinket-cost-3,builder,4,won,67469,30,0,57,39,18,4,0,0
trinket-cost-3,builder,5,won,45686,47,0,52,39,13,3,0,0
trinket-cost-3,builder,6,won,60831,35,0,55,39,16,5,0,0
trinket-cost-3,builder,7,won,37695,38,0,55,36,19,3,0,0
trinket-cost-3,builder,8,won,47207,38,0,54,39,15,4,1,0
trinket-cost-3,builder,9,won,44054,34,0,55,39,16,4,0,0
trinket-cost-3,builder,10,lost,2029,20,0,13,12,1,3,0,0
trinket-cost-3,builder,11,won,38855,45,0,50,39,11,3,1,0
trinket-cost-3,builder,12,lost,32690,38,0,48,38,10,3,0,0
multi-pack-cost-6,greedy,1,won,37061,48,0,51,51,0,3,0,0
multi-pack-cost-6,greedy,2,lost,39626,50,0,53,51,2,3,0,0
multi-pack-cost-6,greedy,3,lost,24230,55,0,43,40,3,3,0,0
multi-pack-cost-6,greedy,4,won,47347,25,0,58,52,6,6,0,0
multi-pack-cost-6,greedy,5,won,35098,38,0,56,56,0,3,0,0
multi-pack-cost-6,greedy,6,lost,21870,46,0,44,40,4,2,1,0
multi-pack-cost-6,greedy,7,won,36925,48,0,52,51,1,3,0,0
multi-pack-cost-6,greedy,8,lost,4911,20,0,20,20,0,4,0,0
multi-pack-cost-6,greedy,9,lost,6652,34,0,24,20,4,2,0,0
multi-pack-cost-6,greedy,10,won,37277,54,0,52,51,1,3,1,0
multi-pack-cost-6,greedy,11,won,40919,48,0,50,46,4,4,0,0
multi-pack-cost-6,greedy,12,lost,3554,16,0,23,20,3,2,0,0
multi-pack-cost-6,builder,1,lost,1938,26,0,11,10,1,4,0,0
multi-pack-cost-6,builder,2,lost,18485,37,0,41,37,4,4,0,0
multi-pack-cost-6,builder,3,won,39604,45,0,56,54,2,4,0,0
multi-pack-cost-6,builder,4,won,60633,35,0,53,50,3,4,0,0
multi-pack-cost-6,builder,5,lost,1918,14,0,15,15,0,3,0,0
multi-pack-cost-6,builder,6,lost,1415,16,0,14,10,4,2,0,0
multi-pack-cost-6,builder,7,won,58852,22,0,57,50,7,5,0,0
multi-pack-cost-6,builder,8,lost,2439,15,0,14,10,4,3,0,0
multi-pack-cost-6,builder,9,lost,7035,26,0,28,25,3,4,0,0
multi-pack-cost-6,builder,10,lost,24177,56,0,42,42,0,3,1,0
multi-pack-cost-6,builder,11,lost,3876,17,0,21,20,1,3,1,0
multi-pack-cost-6,builder,12,lost,3675,17,0,22,20,2,2,0,0
start-pips-3,greedy,1,won,37274,41,0,53,43,10,3,0,0
start-pips-3,greedy,2,lost,43491,32,0,58,47,11,4,0,0
start-pips-3,greedy,3,won,45188,39,0,58,57,1,3,0,0
start-pips-3,greedy,4,won,49014,37,0,54,47,7,6,0,0
start-pips-3,greedy,5,lost,32616,34,0,50,48,2,3,0,0
start-pips-3,greedy,6,lost,45218,44,0,55,52,3,5,0,0
start-pips-3,greedy,7,won,39849,34,0,58,53,5,4,0,0
start-pips-3,greedy,8,won,41349,32,0,58,48,10,4,0,0
start-pips-3,greedy,9,lost,45261,39,0,55,52,3,3,0,0
start-pips-3,greedy,10,won,42378,35,0,54,47,7,3,0,0
start-pips-3,greedy,11,won,38831,38,0,53,47,6,3,0,0
start-pips-3,greedy,12,won,38063,32,0,56,52,4,2,0,0
start-pips-3,builder,1,won,47867,30,0,56,39,17,5,1,0
start-pips-3,builder,2,won,53273,30,0,58,44,14,4,0,0
start-pips-3,builder,3,lost,42078,41,0,58,45,13,4,0,0
start-pips-3,builder,4,lost,39990,44,0,46,40,6,4,1,0
start-pips-3,builder,5,won,67766,26,0,59,44,15,4,0,0
start-pips-3,builder,6,won,44416,27,0,57,39,18,4,0,0
start-pips-3,builder,7,won,44432,38,0,59,49,10,4,0,0
start-pips-3,builder,8,won,71205,32,0,54,39,15,5,1,0
start-pips-3,builder,9,lost,19142,36,0,41,32,9,4,0,0
start-pips-3,builder,10,lost,12407,34,0,37,33,4,3,0,0
start-pips-3,builder,11,won,56668,31,0,56,39,17,5,0,0
start-pips-3,builder,12,won,37981,40,0,56,45,11,3,1,0
start-mult-3,greedy,1,lost,34884,44,0,52,47,5,2,0,0
start-mult-3,greedy,2,won,39090,36,0,56,48,8,2,0,0
start-mult-3,greedy,3,won,41534,40,0,54,52,2,3,0,0
start-mult-3,greedy,4,won,48706,37,0,54,47,7,6,0,0
start-mult-3,greedy,5,lost,7513,27,0,26,25,1,4,0,0
start-mult-3,greedy,6,lost,45112,43,0,55,52,3,5,0,0
start-mult-3,greedy,7,won,40315,31,0,59,48,11,4,0,0
start-mult-3,greedy,8,lost,34978,50,0,52,52,0,2,0,0
start-mult-3,greedy,9,won,44255,40,0,56,52,4,3,0,0
start-mult-3,greedy,10,won,41512,39,0,56,48,8,3,0,0
start-mult-3,greedy,11,won,37700,33,0,56,56,0,3,0,0
start-mult-3,greedy,12,won,40626,36,0,58,53,5,3,0,0
start-mult-3,builder,1,won,37694,35,0,57,44,13,2,1,0
start-mult-3,builder,2,won,42598,40,0,55,40,15,4,0,0
start-mult-3,builder,3,lost,41616,41,0,58,45,13,4,0,0
start-mult-3,builder,4,won,43738,32,0,57,39,18,4,0,0
start-mult-3,builder,5,won,61373,23,0,64,45,19,4,0,0
start-mult-3,builder,6,won,44382,26,0,57,39,18,4,0,0
start-mult-3,builder,7,won,44456,38,0,59,49,10,4,0,0
start-mult-3,builder,8,won,38029,36,0,54,39,15,3,0,0
start-mult-3,builder,9,lost,26720,39,0,49,36,13,4,0,0
start-mult-3,builder,10,lost,2437,20,0,13,10,3,3,0,0
start-mult-3,builder,11,won,44383,35,0,59,44,15,4,0,0
start-mult-3,builder,12,lost,33395,42,0,57,45,12,3,0,0
start-pips-4,greedy,1,won,38836,46,0,57,53,4,3,0,0
start-pips-4,greedy,2,won,38342,29,0,59,52,7,3,0,0
start-pips-4,greedy,3,won,39935,41,0,56,48,8,5,0,0
start-pips-4,greedy,4,won,48182,37,0,54,47,7,6,0,0
start-pips-4,greedy,5,won,42571,46,0,54,48,6,5,0,0
start-pips-4,greedy,6,won,48806,34,0,54,51,3,3,0,0
start-pips-4,greedy,7,lost,25472,40,0,48,48,0,3,0,0
start-pips-4,greedy,8,lost,6226,27,0,26,24,2,2,0,0
start-pips-4,greedy,9,won,44219,36,0,57,57,0,3,0,0
start-pips-4,greedy,10,won,39394,43,0,51,47,4,3,0,0
start-pips-4,greedy,11,lost,23699,42,0,49,49,0,3,0,0
start-pips-4,greedy,12,won,39758,38,0,59,53,6,3,0,0
start-pips-4,builder,1,lost,11480,44,0,33,29,4,4,0,0
start-pips-4,builder,2,won,42711,40,0,55,44,11,4,0,0
start-pips-4,builder,3,won,49017,30,0,59,45,14,5,0,0
start-pips-4,builder,4,won,45421,24,0,56,39,17,3,0,0
start-pips-4,builder,5,won,44225,31,0,60,49,11,5,0,0
start-pips-4,builder,6,won,56923,37,0,53,39,14,3,0,0
start-pips-4,builder,7,won,37715,38,0,55,39,16,3,0,0
start-pips-4,builder,8,won,37817,36,0,54,39,15,3,0,0
start-pips-4,builder,9,won,47653,34,0,56,44,12,4,0,0
start-pips-4,builder,10,lost,2029,20,0,13,10,3,3,0,0
start-pips-4,builder,11,won,47928,31,0,54,39,15,2,0,0
start-pips-4,builder,12,lost,33973,42,0,57,45,12,3,0,0
start-mult-4,greedy,1,won,38836,46,0,57,53,4,3,0,0
start-mult-4,greedy,2,won,42718,36,0,56,48,8,3,0,0
start-mult-4,greedy,3,won,40798,54,0,51,48,3,3,0,0
start-mult-4,greedy,4,won,46598,37,0,54,47,7,6,0,0
start-mult-4,greedy,5,won,40229,45,0,54,48,6,5,0,0
start-mult-4,greedy,6,won,43488,27,0,56,51,5,4,0,0
start-mult-4,greedy,7,lost,25434,40,0,48,48,0,3,0,0
start-mult-4,greedy,8,lost,6226,27,0,26,24,2,2,0,0
start-mult-4,greedy,9,won,39734,55,0,52,48,4,3,0,0
start-mult-4,greedy,10,won,36433,43,0,53,47,6,3,0,0
start-mult-4,greedy,11,lost,37279,49,0,52,52,0,4,0,0
start-mult-4,greedy,12,won,36898,42,0,57,53,4,3,0,0
start-mult-4,builder,1,lost,2034,26,0,11,10,1,4,0,0
start-mult-4,builder,2,won,42711,40,0,55,44,11,4,0,0
start-mult-4,builder,3,won,48677,30,0,59,45,14,5,0,0
start-mult-4,builder,4,won,45421,24,0,56,39,17,3,0,0
start-mult-4,builder,5,won,52744,40,0,53,39,14,4,0,0
start-mult-4,builder,6,won,39463,36,0,52,39,13,3,0,0
start-mult-4,builder,7,won,37695,38,0,55,39,16,3,0,0
start-mult-4,builder,8,won,48502,34,0,54,39,15,5,0,0
start-mult-4,builder,9,won,47653,34,0,56,44,12,4,0,0
start-mult-4,builder,10,lost,1997,20,0,13,10,3,3,0,0
